,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,PREDDEG,HIGHDEG,latitude,longitude,HBCU,MENONLY,WOMENONLY,ADM_RATE,ACTCMMID,SAT_AVG,Agriculture,Natural Resources,Architecture,Ethnic and Gender Studies,Communication Journalism,Communication Technologies,Computer and Info Sciences,Personal and Culinary Services,Education,Engineering,Engineering Technologies and Related Fields,"Foreign Languages, Literatures, and Linguistics",Consumer Science/Human Sciences,Legal Proffessions and Studies,English Lang/Lit,"Liberal Arts Sciences, General Studies, Humanities",Library Science,Bio-Med/Biology,Math/Stats,Military Technologies and Applied Sciences,Multi-Interdisciplinary Studies,Fitness Studies,Philosophy and Religious Studies,Theology and Religious Vocations,Physical Sciences,Science Technology / Technicians,Psychology,"Homeland Security, Homeland Security, Protective Services",Public Administration and Social Service,Social Sciences,Construction Trades,Mechanic Repair Technology/Technicians,Precision Production,Transportation and Materials Moving,Visual and Performing Arts,Health Professions and Related Programs,Business Management Marketing,History,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,PCTFLOAN,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF
0,Alabama A & M University,Normal,AL,35762,Southern Association of Colleges and Schools Commission on Colleges,www.aamu.edu/,3,4,34.783368,-86.568502,1,0,0,0.9175,17,939,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,2,0,5271,0.014,0.9072,0.0091,0.0019,0.0021,0.0011,0.0114,0.007,0.0461,0.0562,1,23053,10024,18634,7870,0.7361,1600,9240,3090,9240,3090
1,University of Alabama at Birmingham,Birmingham,AL,35294-0110,Southern Association of Colleges and Schools Commission on Colleges,https://www.uab.edu/,3,4,33.505697,-86.799345,0,0,0,0.7366,26,1234,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,2,2,1,13328,0.5586,0.2414,0.0565,0.0678,0.0022,0.0003,0.0446,0.023,0.0056,0.2293,1,24495,8568,20400,12096,0.4798,1200,12307,5555,12307,5555
3,University of Alabama in Huntsville,Huntsville,AL,35899,Southern Association of Colleges and Schools Commission on Colleges,www.uah.edu/,3,4,34.724557,-86.640449,0,0,0,0.8257,28,1319,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,2,1,1,7785,0.7161,0.0879,0.0566,0.0347,0.01,0.0014,0.0361,0.0218,0.0353,0.1351,1,23917,11122,23518,8275,0.3976,2120,10400,3994,10400,3994
4,Alabama State University,Montgomery,AL,36104-0271,Southern Association of Colleges and Schools Commission on Colleges,www.alasu.edu/,3,4,32.364317,-86.295677,1,0,0,0.969,17,946,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,2,1,1,1,0,0,0,0,1,1,1,1,3750,0.0163,0.9275,0.0099,0.0037,0.0021,0.0008,0.012,0.0147,0.0131,0.0811,1,21866,11068,19396,9587,0.8232,1600,6050,3392,7320,4228
5,The University of Alabama,Tuscaloosa,AL,35487-0100,Southern Association of Colleges and Schools Commission on Colleges,www.ua.edu/,3,4,33.211875,-87.545978,0,0,0,0.8268,27,1261,0,1,0,1,1,0,1,0,1,2,0,1,2,0,1,0,0,1,1,0,2,1,1,0,1,0,1,1,1,2,0,0,0,0,1,2,2,1,31900,0.7683,0.1008,0.0505,0.0119,0.0037,0.0012,0.0352,0.0235,0.005,0.0905,1,29872,10780,30250,14694,0.3802,1000,13636,4600,13636,4600
8,Auburn University at Montgomery,Montgomery,AL,36117-3596,Southern Association of Colleges and Schools Commission on Colleges,www.aum.edu/,3,4,32.36736,-86.177544,0,0,0,0.9044,21,1082,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,2,0,0,0,0,1,2,1,1,4407,0.4418,0.4187,0.012,0.0202,0.0043,0.0009,0.0359,0.0558,0.0104,0.2085,1,19849,8620,18292,7847,0.5391,1200,6980,3850,10296,3850
9,Auburn University,Auburn,AL,36849,Southern Association of Colleges and Schools Commission on Colleges,www.auburn.edu/,3,4,32.599378,-85.488258,0,0,0,0.8067,28,1300,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,24209,0.8003,0.0504,0.0345,0.0247,0.0028,0.0006,0.026,0.0576,0.0031,0.0762,1,31590,11492,31124,16519,0.3052,1200,13600,5904,13600,5904
10,Birmingham-Southern College,Birmingham,AL,35254,Southern Association of Colleges and Schools Commission on Colleges,www.bsc.edu/,3,3,33.513774,-86.850552,0,0,0,0.5381,26,1230,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1205,0.7867,0.1386,0.0266,0.0216,0.0025,0,0.0091,0.0149,0,0.005,1,32095,18238,18238,10449,0.4666,1260,12402,3190,8000,4690
15,Faulkner University,Montgomery,AL,36109-3390,Southern Association of Colleges and Schools Commission on Colleges,www.faulkner.edu/,3,4,32.384181,-86.21641,0,0,0,0.7833,21,1066,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,1,1,0,1,1,0,1,0,0,2,2,0,1,0,0,0,0,1,1,2,1,1928,0.4544,0.445,0.0275,0.0052,0.0047,0.0036,0.0239,0.0213,0.0145,0.2318,1,34317,22310,22310,11127,0.6096,1800,7925,4300,8200,4800
22,Huntingdon College,Montgomery,AL,36106-2148,Southern Association of Colleges and Schools Commission on Colleges,www.huntingdon.edu/,3,3,32.351034,-86.284366,0,0,0,0.5929,21,1076,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1007,0.6832,0.1897,0.0497,0.007,0.007,0,0.0427,0,0.0209,0.1758,1,36828,27400,27400,12259,0.7225,300,9950,1035,7950,1035
26,Jacksonville State University,Jacksonville,AL,36265,Southern Association of Colleges and Schools Commission on Colleges,www.jsu.edu/,3,4,33.822938,-85.765321,0,0,0,0.5479,21,1084,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,2,0,1,1,0,0,1,0,0,1,0,1,1,2,1,0,0,0,0,1,1,1,1,6743,0.6966,0.2047,0.0059,0.0068,0.0034,0.0004,0,0.0187,0.0635,0.1459,1,19004,11120,20840,7407,0.61,1204,8000,1507,11367,2753
29,Judson College,Marion,AL,36756,Southern Association of Colleges and Schools Commission on Colleges,www.judson.edu/,3,3,32.629253,-87.315206,0,0,1,0.3724,19,1020,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,1,1,0,2,0,2,0,1,0,2,2,1,2,0,0,0,0,2,0,2,2,245,0.7102,0.1918,0.0204,0,0.0082,0.0041,0.0041,0,0.0612,0.2,1,32691,18540,18540,7711,0.694,1340,10910,2980,7700,3648
31,University of West Alabama,Livingston,AL,35470,Southern Association of Colleges and Schools Commission on Colleges,www.uwa.edu/,3,4,32.588132,-88.186329,0,0,0,0.3493,20,1041,0,0,0,0,2,0,0,0,2,0,2,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,2,1,2235,0.4528,0.4076,0.0157,0.0031,0.0049,0.0004,0.0228,0.0403,0.0523,0.1575,1,21657,10990,20090,8766,0.6007,1200,7510,3505,7200,3505
35,University of Mobile,Mobile,AL,36613-2842,Southern Association of Colleges and Schools Commission on Colleges,www.umobile.edu/,3,4,30.793247,-88.128934,0,0,0,0.4566,24,1166,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,2,0,1,1,0,1,1,2,1,0,0,2,0,0,1,0,0,0,0,1,1,2,1,1192,0.6753,0.1644,0.0126,0.0193,0.0193,0.0042,0.0252,0.0352,0.0445,0.0721,1,36104,23860,23860,9720,0.5304,1800,9700,4750,9000,4800
36,University of Montevallo,Montevallo,AL,35115-6000,Southern Association of Colleges and Schools Commission on Colleges,www.montevallo.edu/,3,4,33.10625,-86.865099,0,0,0,0.532,23,1135,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,2200,0.6845,0.1627,0.0518,0.0086,0.0027,0.0018,0.0409,0.0295,0.0173,0.0932,1,24746,13708,26728,7918,0.5322,1020,9810,3180,9810,3180
38,University of North Alabama,Florence,AL,35632-0001,Southern Association of Colleges and Schools Commission on Colleges,www.una.edu/,3,4,34.806738,-87.681361,0,0,0,0.8878,23,1148,0,0,0,0,1,0,1,2,1,0,1,2,1,0,1,0,0,1,1,0,2,1,0,0,1,0,1,2,1,2,0,0,0,0,1,2,2,2,5513,0.7422,0.1324,0.0327,0.0078,0.006,0.0007,0.031,0.0414,0.0058,0.1223,1,20886,10620,20220,7774,0.5061,1500,7830,2800,7830,2800
40,Oakwood University,Huntsville,AL,35896,Southern Association of Colleges and Schools Commission on Colleges,https://www2.oakwood.edu/,3,4,34.756344,-86.652705,1,0,0,0.6473,20,1010,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,2,1,1442,0.0035,0.8044,0.0513,0.0035,0.0236,0,0,0.0742,0.0395,0.0527,1,37169,19990,19990,15190,0.6806,1500,9374,6900,9374,6900
43,Samford University,Birmingham,AL,35229-2240,Southern Association of Colleges and Schools Commission on Colleges,www.samford.edu/,3,4,33.464128,-86.791799,0,0,0,0.8331,26,1223,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,3585,0.8502,0.0667,0.0326,0.0103,0.002,0.0003,0.0232,0.0117,0.0031,0.0215,1,47863,32850,32850,19803,0.3211,1000,10980,4804,10800,5350
47,University of South Alabama,Mobile,AL,36688-0002,Southern Association of Colleges and Schools Commission on Colleges,www.southalabama.edu/,3,4,30.696033,-88.178711,0,0,0,0.7869,24,1166,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,9380,0.6109,0.2213,0.0413,0.0317,0.0066,0.0011,0.0392,0.021,0.027,0.141,1,20792,8396,16292,9647,0.5706,1300,7800,4916,9178,4916
48,Spring Hill College,Mobile,AL,36608-1791,Southern Association of Colleges and Schools Commission on Colleges,www.shc.edu/,3,4,30.694751,-88.138199,0,0,0,0.4978,23,1131,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1156,0.6791,0.141,0.0363,0.013,0.0026,0.0026,0.0285,0.045,0.0519,0.0112,1,55695,40648,40648,13098,0.7823,1500,13652,3262,16474,3992
52,Troy University,Troy,AL,36082-0001,Southern Association of Colleges and Schools Commission on Colleges,www.troy.edu/,3,4,31.800672,-85.957094,0,0,0,0.8757,21,1079,0,1,0,0,1,0,2,0,1,0,1,2,0,0,2,0,0,1,1,0,2,2,0,0,1,0,2,2,2,2,0,0,0,0,1,2,2,2,12595,0.526,0.3086,0.0398,0.0076,0.0035,0.0011,0.0339,0.0471,0.0324,0.3103,1,19545,8908,16708,9384,0.6328,1300,6804,4766,7586,6766
53,Tuskegee University,Tuskegee,AL,36088-1920,Southern Association of Colleges and Schools Commission on Colleges,www.tuskegee.edu/,3,4,32.4309,-85.708492,1,0,0,0.5173,21,1029,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,2394,0.0042,0.8885,0.0121,0.0079,0.0038,0.005,0.0167,0,0.0618,0.0585,1,39383,22614,22614,14855,0.3614,1812,9844,6480,10055,6480
58,University of Alaska Fairbanks,Fairbanks,AK,99775,Northwest Commission on Colleges and Universities,www.uaf.edu/,3,4,64.85756,-147.823146,0,0,0,0.7599,21,1121,0,1,0,2,2,0,1,0,2,1,0,1,2,0,1,1,0,1,1,0,1,2,1,0,1,0,2,2,2,1,0,0,0,0,1,0,2,2,4410,0.4993,0.0361,0.0864,0.0188,0.1308,0.0082,0.1059,0.0129,0.1016,0.4286,1,18558,7080,21216,8300,0.2145,2000,10440,2650,12050,4250
70,Arizona State University Campus Immersion,Tempe,AZ,85287,Higher Learning Commission,www.asu.edu/,3,4,33.417721,-111.934383,0,0,0,0.8647,25,1230,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,44038,0.4927,0.0383,0.2266,0.0853,0.0112,0.0017,0.0477,0.0884,0.0082,0.0699,1,26296,11338,29428,22116,0.3392,1171,13164,3430,9684,4412
72,University of Arizona,Tucson,AZ,85721-0066,Higher Learning Commission,https://www.arizona.edu/,3,4,32.232672,-110.950815,0,0,0,0.8459,25,1228,1,2,2,2,2,0,2,0,2,2,1,1,1,2,1,1,0,1,1,2,2,0,2,0,2,2,2,1,1,2,0,0,0,0,1,2,2,2,33715,0.4977,0.0386,0.2709,0.0532,0.0117,0.0023,0.0499,0.0624,0.0133,0.1428,1,27417,12711,36718,15311,0.3558,800,13050,3500,10350,5800
103,Arizona Christian University,Glendale,AZ,85306-3216,Higher Learning Commission,arizonachristian.edu/,3,3,33.622952,-112.181776,0,0,0,0.6793,18,982,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,2,0,803,0.4558,0.1494,0.2391,0.0137,0.0075,0.0025,0.0535,0.0448,0.0336,0.1196,1,39360,27890,27890,12266,0.5696,1400,11048,5000,10500,6000
107,University of Arkansas at Little Rock,Little Rock,AR,72204,Higher Learning Commission,ualr.edu/www/,3,4,34.723254,-92.339778,0,0,0,0.6582,22,1120,0,0,0,0,2,0,1,0,2,1,2,1,0,1,2,2,0,1,2,0,2,0,1,0,1,0,2,2,2,2,0,0,0,0,1,2,2,1,5900,0.4864,0.2719,0.0439,0.022,0.0037,0,0.1322,0.0369,0.0029,0.381,1,21590,9544,21754,5652,0.4329,1500,8556,4630,8811,5670
112,Lyon College,Batesville,AR,72501,Higher Learning Commission,www.lyon.edu/,3,3,35.777619,-91.625354,0,0,0,0.444,24,1165,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,650,0.5462,0.0938,0.0631,0.0462,0.0277,0,0,0.0138,0.2092,0.0077,1,40422,29140,29140,9987,0.6122,1500,9810,2000,9810,2000
115,University of Arkansas,Fayetteville,AR,72701,Higher Learning Commission,https://www.uark.edu/,3,4,36.070009,-94.176981,0,0,0,0.7709,27,1253,1,1,1,1,2,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,2,1,1,0,1,0,1,1,1,1,0,0,0,0,1,2,2,1,22766,0.7557,0.0398,0.093,0.0255,0.0092,0.0008,0.043,0.0263,0.0067,0.1003,1,23390,9384,25872,9926,0.3672,1100,11330,4330,11330,4330
116,University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,Higher Learning Commission,www.uapb.edu/,3,4,34.244031,-92.018683,1,0,0,0.4394,18,978,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,2333,0.0287,0.9023,0.0231,0.0039,0.0039,0.0009,0.0197,0.0137,0.0039,0.0737,1,19108,8248,14908,4248,0.6688,1000,8472,3544,4846,4574
118,Arkansas State University,Jonesboro,AR,72401,Higher Learning Commission,www.astate.edu/,3,4,35.842388,-90.679988,0,0,0,0.7991,24,1188,1,1,0,0,2,0,1,0,1,1,1,1,0,0,1,2,0,1,1,0,1,1,1,0,1,0,2,2,1,2,0,0,0,0,1,2,1,1,8159,0.7397,0.134,0.037,0.0088,0.0037,0.0006,0.0218,0.0465,0.008,0.2174,1,21756,8900,15860,4083,0.4999,1250,9672,4566,9108,4566
124,University of Central Arkansas,Conway,AR,72035-0001,Higher Learning Commission,www.uca.edu/,3,4,35.077945,-92.457672,0,0,0,0.9042,24,1187,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,2,0,0,0,0,1,1,2,1,8557,0.6645,0.162,0.0582,0.0224,0.0057,0.0007,0.0427,0.0417,0.0021,0.1122,1,22041,9188,15998,5599,0.4714,1200,7198,6317,6843,6317
125,Central Baptist College,Conway,AR,72034,Higher Learning Commission,www.cbc.edu/,3,3,35.083838,-92.445021,0,0,0,0.4,20,1027,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,1,2,1,600,0.6867,0.155,0.0567,0.005,0.02,0.0017,0.03,0.0267,0.0183,0.09,1,26290,16650,16650,9822,0.6011,1350,7500,2254,5076,2572
133,Harding University,Searcy,AR,72149-5615,Higher Learning Commission,www.harding.edu/,3,4,35.247386,-91.726143,0,0,0,0.6134,25,1204,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,3749,0.809,0.0472,0.0384,0.0088,0.0027,0.0016,0.0331,0.0584,0.0008,0.0579,1,30490,20735,20735,14455,0.5137,1200,7170,2806,7170,2806
134,Henderson State University,Arkadelphia,AR,71999-0001,Higher Learning Commission,https://www.hsu.edu/,3,4,34.128155,-93.059703,0,0,0,0.7564,22,1102,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,2,1,1,2965,0.6405,0.1997,0.059,0.0111,0.0037,0.0074,0.06,0.0101,0.0084,0.0911,1,20560,8902,10612,3199,0.463,2000,7880,6318,10000,6318
135,Hendrix College,Conway,AR,72032-3080,Higher Learning Commission,www.hendrix.edu/,3,4,35.101565,-92.443256,0,0,0,0.6996,29,1324,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1104,0.6078,0.0697,0.0661,0.0317,0,0,0.0335,0.0172,0.1739,0.0027,1,62983,47600,47600,11188,0.4825,1100,12460,2900,9592,2900
138,John Brown University,Siloam Springs,AR,72761,Higher Learning Commission,www.jbu.edu/,3,4,36.189812,-94.560283,0,0,0,0.7577,26,1237,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,2,1,1447,0.7374,0.0166,0.0781,0.0124,0.0124,0.0014,0.0504,0.0684,0.0228,0.0733,1,39802,27668,27668,11839,0.4419,800,9456,2850,2500,2850
146,Ouachita Baptist University,Arkadelphia,AR,71998-0001,Higher Learning Commission,www.obu.edu/,3,3,34.126093,-93.052471,0,0,0,0.6143,25,1194,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,2,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1524,0.8038,0.0722,0.0584,0.0079,0.0039,0.0007,0.0282,0.0249,0,0.0131,1,38590,27900,27900,9488,0.6096,1100,8000,3200,9280,4000
161,Williams Baptist University,Walnut Ridge,AR,72476,Higher Learning Commission,https://williamsbaptistuniversity.com/,3,4,36.125676,-90.940277,0,0,0,0.5878,21,1062,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,1,512,0.7285,0.1309,0.041,0,0.0039,0.002,0.0215,0.0723,0,0.0098,1,28664,18060,18060,7836,0.5929,1250,8296,3110,7700,3730
163,Southern Arkansas University Main Campus,Magnolia,AR,71753,Higher Learning Commission,https://www.saumag.edu/,3,4,33.291618,-93.235922,0,0,0,0.6506,21,1085,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,3164,0.6596,0.2405,0.0458,0.0066,0.0044,0.0006,0.0218,0.0205,0,0.0556,1,22579,9080,13580,4330,0.7623,1600,7188,5882,7188,7495
183,Azusa Pacific University,Azusa,CA,91702-7000,Western Association of Schools and Colleges Senior Colleges and University Commission,www.apu.edu/,3,4,34.130047,-117.888375,0,0,0,0.6748,23,1146,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,2,1,1,5128,0.3569,0.0614,0.3403,0.1,0.0037,0.0094,0.0657,0.0324,0.0302,0.1414,1,53117,40220,40220,20173,0.4386,1972,10916,3718,15086,5274
188,Biola University,La Mirada,CA,90639-0001,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.biola.edu/,3,4,33.906203,-118.014374,0,0,0,0.6985,25,1198,0,1,0,0,1,0,1,0,2,1,0,1,0,0,1,1,0,1,1,0,1,1,1,2,1,0,2,0,0,1,0,0,0,0,1,1,2,1,4031,0.4542,0.0275,0.2074,0.1506,0.0027,0.0079,0.0635,0.0501,0.036,0.065,1,55950,41976,41976,22801,0.563,1970,11514,3716,11514,3716
194,California Baptist University,Riverside,CA,92504-3297,Western Association of Schools and Colleges Senior Colleges and University Commission,www.calbaptist.edu/,3,4,33.929321,-117.425619,0,0,0,0.7828,21,1096,0,1,1,0,2,0,2,0,2,1,1,1,0,0,2,2,0,1,1,0,1,2,2,2,1,0,2,2,2,2,0,0,0,1,2,2,2,1,8170,0.3853,0.0638,0.3638,0.0596,0.0062,0.0099,0.0562,0.0225,0.0327,0.1024,1,46261,34882,34882,19276,0.6867,1970,9660,3716,15082,5274
197,California Institute of Technology,Pasadena,CA,91125,Western Association of Schools and Colleges Senior Colleges and University Commission,www.caltech.edu/,3,4,34.137349,-118.125878,0,0,0,0.0642,36,1557,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,938,0.2697,0.0171,0.1716,0.3657,0,0.0011,0.0896,0.0842,0.0011,0,1,72084,54600,54600,19794,0.0422,1428,16644,2091,14631,4311
198,California Lutheran University,Thousand Oaks,CA,91360-2787,Western Association of Schools and Colleges Senior Colleges and University Commission,www.callutheran.edu/,3,4,34.224566,-118.878924,0,0,0,0.7142,24,1168,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,2,1,3077,0.4088,0.037,0.3718,0.0481,0.0016,0.0049,0.0718,0.0299,0.026,0.0344,1,58375,44382,44382,19232,0.5273,1971,14100,3817,15084,4374
199,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,Western Association of Schools and Colleges Senior Colleges and University Commission,calpoly.edu/,3,4,35.299513,-120.657311,0,0,0,0.2842,29,1342,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,20453,0.5364,0.0084,0.1757,0.1365,0.0014,0.0022,0.077,0.0214,0.0411,0.0398,1,28302,9943,23833,9472,0.2894,1941,14208,2835,14706,2835
203,California State University-San Bernardino,San Bernardino,CA,92407-2393,Western Association of Schools and Colleges Senior Colleges and University Commission,www.csusb.edu/,3,4,34.182622,-117.323801,0,0,0,0.6856,17,985,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,2,1,1,0,0,0,0,1,1,1,1,17963,0.1072,0.0464,0.6719,0.05,0.0017,0.0013,0.0214,0.0665,0.0337,0.0809,1,18313,6885,18765,3541,0.3067,1971,13435,2568,16189,2982
204,California State Polytechnic University-Pomona,Pomona,CA,91768,Western Association of Schools and Colleges Senior Colleges and University Commission,www.cpp.edu/,3,4,34.057912,-117.821476,0,0,0,0.5459,23,1143,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,26373,0.1497,0.0335,0.4725,0.2152,0.0014,0.0021,0.036,0.0594,0.0303,0.1061,1,21967,7396,19276,4048,0.3197,1800,16742,2604,13215,3004
205,California State University-Chico,Chico,CA,95929-0150,Western Association of Schools and Colleges Senior Colleges and University Commission,www.csuchico.edu/,3,4,39.729712,-121.844859,0,0,0,0.7233,21,1089,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,2,0,1,1,0,1,1,2,0,1,0,1,1,1,2,0,0,0,0,1,1,1,1,16044,0.4313,0.0279,0.3455,0.056,0.005,0.0025,0.0538,0.0265,0.0514,0.0682,1,23888,7806,19686,4240,0.4363,1970,13422,2796,13216,2796
207,California State University-Fresno,Fresno,CA,93740,Western Association of Schools and Colleges Senior Colleges and University Commission,www.fresnostate.edu/,3,4,36.811154,-119.744569,0,0,0,0.5794,19,1030,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,21156,0.1792,0.0263,0.5455,0.1272,0.004,0.0018,0.0263,0.0551,0.0346,0.1077,1,16494,6589,18469,3497,0.2707,1972,10587,2568,15084,2982
208,California State University-Fullerton,Fullerton,CA,92831-3599,Western Association of Schools and Colleges Senior Colleges and University Commission,www.fullerton.edu/,3,4,33.881506,-117.885446,0,0,0,0.5269,22,1113,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,2,0,0,0,0,1,1,2,1,35087,0.1799,0.0188,0.4581,0.2098,0.0011,0.0018,0.0393,0.0616,0.0295,0.1799,1,17568,6924,18804,5115,0.2631,2058,15852,3209,16189,3283
210,California State University-Long Beach,Long Beach,CA,90840-0115,Western Association of Schools and Colleges Senior Colleges and University Commission,www.csulb.edu/,3,4,33.782818,-118.11204,0,0,0,0.3927,23,1146,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,32900,0.1681,0.0373,0.4436,0.2104,0.0011,0.0027,0.0464,0.064,0.0266,0.1303,1,19239,6834,18714,4623,0.3005,2058,13158,3208,15056,3282
211,California State University-Los Angeles,Los Angeles,CA,90032-8506,Western Association of Schools and Colleges Senior Colleges and University Commission,www.calstatela.edu/,3,4,34.066927,-118.168965,0,0,0,0.4781,18,979,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,22743,0.0459,0.0314,0.6972,0.1248,0.0008,0.001,0.0135,0.0644,0.0209,0.1346,1,14728,6768,18648,3431,0.2561,2058,15992,3209,16189,3283
